prompt,health_ailment,date
I've been experiencing Polycystic Ovary Syndrome (PCOS) since Since last Monday.,Polycystic Ovary Syndrome (PCOS),Since last Monday
I’ve been suffering from Allergic Rhinitis (Seasonal Allergies) ever since 2020/01/01 – 2020/01/07.,Allergic Rhinitis (Seasonal Allergies),2020/01/01 – 2020/01/07
I’ve been suffering from Peptic Ulcer Disease ever since 03/26/2020 – 03/29/2020.,Peptic Ulcer Disease,03/26/2020 – 03/29/2020
I’ve been suffering from Postural Orthostatic Tachycardia Syndrome (POTS) ever since 03/15/2020 – 03/19/2020.,Postural Orthostatic Tachycardia Syndrome (POTS),03/15/2020 – 03/19/2020
I have Muscle Strain since Past 3 hours.,Muscle Strain,Past 3 hours
I’ve been suffering from Obesity ever since During Spring 2020.,Obesity,During Spring 2020
I’ve been suffering from Restless Legs Syndrome ever since 12/30/2019 – 01/10/2020.,Restless Legs Syndrome,12/30/2019 – 01/10/2020
I've been experiencing Iliotibial Band Syndrome (ITBS) since The last quarter of 2019.,Iliotibial Band Syndrome (ITBS),The last quarter of 2019
"Since The entire month of February 2020, I’ve been dealing with Achilles Tendinitis.",Achilles Tendinitis,The entire month of February 2020
I’ve been suffering from Muscle Strain ever since The last quarter of 2019.,Muscle Strain,The last quarter of 2019
I've been experiencing Fatigue from Iron Deficiency since 2019/11/03 – 2019/11/07.,Fatigue from Iron Deficiency,2019/11/03 – 2019/11/07
I've been experiencing Rosacea since During Spring 2020.,Rosacea,During Spring 2020
I have had Common Cold since During Spring 2020.,Common Cold,During Spring 2020
I’ve been suffering from Achilles Tendinitis ever since Since the COVID-19 pandemic began.,Achilles Tendinitis,Since the COVID-19 pandemic began
I have Chronic Fatigue Syndrome since 2019/12/20 – 2019/12/27.,Chronic Fatigue Syndrome,2019/12/20 – 2019/12/27
I've been experiencing Anemia Eczema (Atopic Dermatitis) since Yesterday.,Anemia Eczema (Atopic Dermatitis),Yesterday
I've been experiencing Obesity since Since last night at midnight.,Obesity,Since last night at midnight
I've been experiencing Peptic Ulcer Disease since 03/26/2020 – 03/29/2020.,Peptic Ulcer Disease,03/26/2020 – 03/29/2020
I've been experiencing Gallstones since 2020/02/11 – 2020/02/14.,Gallstones,2020/02/11 – 2020/02/14
Chronic Sinusitis have been affecting me since Last weekend.,Chronic Sinusitis,Last weekend
I've been experiencing Migraine since The entire month of February 2020.,Migraine,The entire month of February 2020
"Since 03/15/2020 – 03/19/2020, I’ve been dealing with Hypothyroidism.",Hypothyroidism,03/15/2020 – 03/19/2020
"Since 03/26/2020 – 03/29/2020, I’ve been dealing with Joint Sprain.",Joint Sprain,03/26/2020 – 03/29/2020
I have Bradycardia (Slow Heart Rate) since 2020/01/20 – 2020/01/25.,Bradycardia (Slow Heart Rate),2020/01/20 – 2020/01/25
I’ve been suffering from Gout ever since Since the beginning of this year.,Gout,Since the beginning of this year
I’ve been suffering from Irritable Bowel Syndrome (IBS) ever since 2019/12/01 – 2019/12/05.,Irritable Bowel Syndrome (IBS),2019/12/01 – 2019/12/05
I have Iliotibial Band Syndrome (ITBS) since 2020/02/05 – 2020/02/10.,Iliotibial Band Syndrome (ITBS),2020/02/05 – 2020/02/10
I’ve been suffering from Attention Deficit Hyperactivity Disorder (ADHD) ever since 03/26/2020 – 03/29/2020.,Attention Deficit Hyperactivity Disorder (ADHD),03/26/2020 – 03/29/2020
I've been experiencing Hypertension (High Blood Pressure) since 03/26/2020 – 03/29/2020.,Hypertension (High Blood Pressure),03/26/2020 – 03/29/2020
I’ve been suffering from Bradycardia (Slow Heart Rate) ever since 2019/11/18 – 2019/11/22.,Bradycardia (Slow Heart Rate),2019/11/18 – 2019/11/22
I’ve been suffering from Celiac Disease ever since During Spring 2020.,Celiac Disease,During Spring 2020
"Since Last 2 months, I’ve been dealing with Achilles Tendinitis.",Achilles Tendinitis,Last 2 months
I have Insomnia since 03/21/2020 – 03/25/2020.,Insomnia,03/21/2020 – 03/25/2020
I’ve been suffering from Hypotension (Low Blood Pressure) ever since Over the last school semester.,Hypotension (Low Blood Pressure),Over the last school semester
I have had Chronic Fatigue Syndrome since Last 3 hours.,Chronic Fatigue Syndrome,Last 3 hours
I've been experiencing Myofascial Pain Syndrome since 2019/11/05 – 2019/11/06.,Myofascial Pain Syndrome,2019/11/05 – 2019/11/06
"I've been experiencing Peripheral Neuropathy since Today, 08:00 AM – 11:00 AM.",Peripheral Neuropathy,"Today, 08:00 AM – 11:00 AM"
I've been experiencing Depression since Since last Monday.,Depression,Since last Monday
I have had Fibromyalgia since 2020/01/28 – 2020/02/02.,Fibromyalgia,2020/01/28 – 2020/02/02
Hypothyroidism have been affecting me since 2020/02/22 – 2020/02/25.,Hypothyroidism,2020/02/22 – 2020/02/25
I have Hyperthyroidism since The last quarter of 2019.,Hyperthyroidism,The last quarter of 2019
Gallstones have been affecting me since Since the COVID-19 pandemic began.,Gallstones,Since the COVID-19 pandemic began
"Since Past 12 hours, I’ve been dealing with Hypotension (Low Blood Pressure).",Hypotension (Low Blood Pressure),Past 12 hours
Glaucoma have been affecting me since Between 02/10/2020 and 02/20/2020.,Glaucoma,Between 02/10/2020 and 02/20/2020
I have had Depression since Between 02/10/2020 and 02/20/2020.,Depression,Between 02/10/2020 and 02/20/2020
"Since From 03/01/2020 to 03/07/2020, I’ve been dealing with Chronic Kidney Disease.",Chronic Kidney Disease,From 03/01/2020 to 03/07/2020
I've been experiencing Delayed Onset Muscle Soreness (DOMS) since 2019/11/18 – 2019/11/22.,Delayed Onset Muscle Soreness (DOMS),2019/11/18 – 2019/11/22
I’ve been suffering from Anemia Eczema (Atopic Dermatitis) ever since 2019/11/18 – 2019/11/22.,Anemia Eczema (Atopic Dermatitis),2019/11/18 – 2019/11/22
I have Heart Palpitations since Between 02/10/2020 and 02/20/2020.,Heart Palpitations,Between 02/10/2020 and 02/20/2020
I've been experiencing Hypotension (Low Blood Pressure) since 03/21/2020 – 03/25/2020.,Hypotension (Low Blood Pressure),03/21/2020 – 03/25/2020
I’ve been suffering from Exercise-Induced Hypoglycemia ever since Since last night at midnight.,Exercise-Induced Hypoglycemia,Since last night at midnight
I’ve been suffering from Shingles (Herpes Zoster) ever since 03/06/2020 – 03/10/2020.,Shingles (Herpes Zoster),03/06/2020 – 03/10/2020
I've been experiencing Fibromyalgia since Every morning this week.,Fibromyalgia,Every morning this week
I have Hypertrophic Cardiomyopathy since 03/26/2020 – 03/29/2020.,Hypertrophic Cardiomyopathy,03/26/2020 – 03/29/2020
I have Glaucoma since 2019/11/10 – 2019/11/12.,Glaucoma,2019/11/10 – 2019/11/12
I have had Hypertension (High Blood Pressure) since 2020/01/20 – 2020/01/25.,Hypertension (High Blood Pressure),2020/01/20 – 2020/01/25
I've been experiencing Epilepsy since During Spring 2020.,Epilepsy,During Spring 2020
I have had Hyperthyroidism since 03/06/2020 – 03/10/2020.,Hyperthyroidism,03/06/2020 – 03/10/2020
High Cholesterol (Hyperlipidemia) have been affecting me since Last 36 hours.,High Cholesterol (Hyperlipidemia),Last 36 hours
Peripheral Neuropathy have been affecting me since Every morning this week.,Peripheral Neuropathy,Every morning this week
I've been experiencing Exertional Rhabdomyolysis since For the past 4 days.,Exertional Rhabdomyolysis,For the past 4 days
I have had Glaucoma since Since last Monday.,Glaucoma,Since last Monday
I have Epilepsy since Past 3 hours.,Epilepsy,Past 3 hours
I've been experiencing Hypothyroidism since The last quarter of 2019.,Hypothyroidism,The last quarter of 2019
I have Chronic Back Pain since 03/06/2020 – 03/10/2020.,Chronic Back Pain,03/06/2020 – 03/10/2020
I have had Polycystic Ovary Syndrome (PCOS) since The first week of November 2019.,Polycystic Ovary Syndrome (PCOS),The first week of November 2019
I have had Delayed Onset Muscle Soreness (DOMS) since 2019/11/05 – 2019/11/06.,Delayed Onset Muscle Soreness (DOMS),2019/11/05 – 2019/11/06
I've been experiencing Hypertrophic Cardiomyopathy since Past 3 hours.,Hypertrophic Cardiomyopathy,Past 3 hours
I have Orthostatic Intolerance since 2020/02/15 – 2020/02/20.,Orthostatic Intolerance,2020/02/15 – 2020/02/20
I have had Delayed Onset Muscle Soreness (DOMS) since 2019/11/10 – 2019/11/12.,Delayed Onset Muscle Soreness (DOMS),2019/11/10 – 2019/11/12
I have Exercise-Induced Hypoglycemia since 03/06/2020 – 03/10/2020.,Exercise-Induced Hypoglycemia,03/06/2020 – 03/10/2020
I have had Peripheral Neuropathy since For the past 4 days.,Peripheral Neuropathy,For the past 4 days
"Since Last 36 hours, I’ve been dealing with Pneumonia.",Pneumonia,Last 36 hours
"Since Past 30 days, I’ve been dealing with Orthostatic Intolerance.",Orthostatic Intolerance,Past 30 days
I have Chronic Sinusitis since The entire month of February 2020.,Chronic Sinusitis,The entire month of February 2020
I’ve been suffering from Hypertrophic Cardiomyopathy ever since Over the last school semester.,Hypertrophic Cardiomyopathy,Over the last school semester
I have had Allergic Rhinitis (Seasonal Allergies) since 03/26/2020 – 03/29/2020.,Allergic Rhinitis (Seasonal Allergies),03/26/2020 – 03/29/2020
I have Iliotibial Band Syndrome (ITBS) since 2020/02/15 – 2020/02/20.,Iliotibial Band Syndrome (ITBS),2020/02/15 – 2020/02/20
I have Polycystic Ovary Syndrome (PCOS) since 2020/01/20 – 2020/01/25.,Polycystic Ovary Syndrome (PCOS),2020/01/20 – 2020/01/25
I’ve been suffering from Restless Legs Syndrome ever since 03/26/2020 – 03/29/2020.,Restless Legs Syndrome,03/26/2020 – 03/29/2020
Common Cold have been affecting me since The second half of November 2019.,Common Cold,The second half of November 2019
I have Anxiety Disorder since Over the last school semester.,Anxiety Disorder,Over the last school semester
I have had Iliotibial Band Syndrome (ITBS) since During Spring 2020.,Iliotibial Band Syndrome (ITBS),During Spring 2020
Runner’s Knee (Patellofemoral Pain Syndrome) have been affecting me since Past 2 weeks.,Runner’s Knee (Patellofemoral Pain Syndrome),Past 2 weeks
I have Anxiety Disorder since 03/21/2020 – 03/25/2020.,Anxiety Disorder,03/21/2020 – 03/25/2020
"Since Last 2 months, I’ve been dealing with Exertional Rhabdomyolysis.",Exertional Rhabdomyolysis,Last 2 months
Shingles (Herpes Zoster) have been affecting me since Past week.,Shingles (Herpes Zoster),Past week
Polycystic Ovary Syndrome (PCOS) have been affecting me since Every morning this week.,Polycystic Ovary Syndrome (PCOS),Every morning this week
I've been experiencing Benign Prostatic Hyperplasia (BPH) since 2019/11/10 – 2019/11/12.,Benign Prostatic Hyperplasia (BPH),2019/11/10 – 2019/11/12
I have had Runner’s Knee (Patellofemoral Pain Syndrome) since 2019/11/10 – 2019/11/12.,Runner’s Knee (Patellofemoral Pain Syndrome),2019/11/10 – 2019/11/12
I have had Delayed Onset Muscle Soreness (DOMS) since During the holiday season 2019.,Delayed Onset Muscle Soreness (DOMS),During the holiday season 2019
I’ve been suffering from Restless Legs Syndrome ever since 2020/01/01 – 2020/01/07.,Restless Legs Syndrome,2020/01/01 – 2020/01/07
Tachycardia (Fast Heart Rate) have been affecting me since Last 3 hours.,Tachycardia (Fast Heart Rate),Last 3 hours
I have Myofascial Pain Syndrome since 2020/01/20 – 2020/01/25.,Myofascial Pain Syndrome,2020/01/20 – 2020/01/25
I have Rheumatoid Arthritis since The entire month of February 2020.,Rheumatoid Arthritis,The entire month of February 2020
"Since 2020/02/22 – 2020/02/25, I’ve been dealing with Acid Reflux (GERD).",Acid Reflux (GERD),2020/02/22 – 2020/02/25
"Since 03/21/2020 – 03/25/2020, I’ve been dealing with Iliotibial Band Syndrome (ITBS).",Iliotibial Band Syndrome (ITBS),03/21/2020 – 03/25/2020
I have Epilepsy since 03/01/2020 – 03/05/2020.,Epilepsy,03/01/2020 – 03/05/2020
Iliotibial Band Syndrome (ITBS) have been affecting me since 03/11/2020 – 03/14/2020.,Iliotibial Band Syndrome (ITBS),03/11/2020 – 03/14/2020
I've been experiencing Rosacea since The second half of November 2019.,Rosacea,The second half of November 2019
I have Dehydration since 2020/02/22 – 2020/02/25.,Dehydration,2020/02/22 – 2020/02/25
Peripheral Neuropathy have been affecting me since 2019/11/03 – 2019/11/07.,Peripheral Neuropathy,2019/11/03 – 2019/11/07
Anemia Eczema (Atopic Dermatitis) have been affecting me since Past 3 hours.,Anemia Eczema (Atopic Dermatitis),Past 3 hours
"Since This month (up to today), I’ve been dealing with Hypertension (High Blood Pressure).",Hypertension (High Blood Pressure),This month (up to today)
Delayed Onset Muscle Soreness (DOMS) have been affecting me since 03/11/2020 – 03/14/2020.,Delayed Onset Muscle Soreness (DOMS),03/11/2020 – 03/14/2020
I’ve been suffering from Fatigue from Iron Deficiency ever since Between 02/10/2020 and 02/20/2020.,Fatigue from Iron Deficiency,Between 02/10/2020 and 02/20/2020
"Since 2019/11/18 – 2019/11/22, I’ve been dealing with Peptic Ulcer Disease.",Peptic Ulcer Disease,2019/11/18 – 2019/11/22
I have Insomnia since Past 30 days.,Insomnia,Past 30 days
"Since 2019/11/18 – 2019/11/22, I’ve been dealing with Type 2 Diabetes.",Type 2 Diabetes,2019/11/18 – 2019/11/22
I've been experiencing Peptic Ulcer Disease since This month (up to today).,Peptic Ulcer Disease,This month (up to today)
Asthma have been affecting me since Every morning this week.,Asthma,Every morning this week
"Since Last 36 hours, I’ve been dealing with Asthma.",Asthma,Last 36 hours
Pneumonia have been affecting me since The first week of November 2019.,Pneumonia,The first week of November 2019
I have had Plantar Fasciitis since Past 30 days.,Plantar Fasciitis,Past 30 days
I've been experiencing Rosacea since Since the beginning of this year.,Rosacea,Since the beginning of this year
"Since Past 2 weeks, I’ve been dealing with Hypothyroidism.",Hypothyroidism,Past 2 weeks
I’ve been suffering from Exercise-Induced Hypoglycemia ever since Last 2 months.,Exercise-Induced Hypoglycemia,Last 2 months
I've been experiencing Myofascial Pain Syndrome since Every morning this week.,Myofascial Pain Syndrome,Every morning this week
Tachycardia (Fast Heart Rate) have been affecting me since Past 12 hours.,Tachycardia (Fast Heart Rate),Past 12 hours
I've been experiencing Insomnia since Over the last school semester.,Insomnia,Over the last school semester
I have had Epilepsy since Since my last doctor’s visit.,Epilepsy,Since my last doctor’s visit
I've been experiencing Shin Splints since 03/26/2020 – 03/29/2020.,Shin Splints,03/26/2020 – 03/29/2020
"Since Since turning 30 years old, I’ve been dealing with Polycystic Ovary Syndrome (PCOS).",Polycystic Ovary Syndrome (PCOS),Since turning 30 years old
I have had Hypothyroidism since Since the COVID-19 pandemic began.,Hypothyroidism,Since the COVID-19 pandemic began
Epilepsy have been affecting me since 2019/11/05 – 2019/11/06.,Epilepsy,2019/11/05 – 2019/11/06
I have had Hypertension (High Blood Pressure) since 2019/11/29 – 2019/12/15.,Hypertension (High Blood Pressure),2019/11/29 – 2019/12/15
I’ve been suffering from Type 2 Diabetes ever since 2019/12/01 – 2019/12/05.,Type 2 Diabetes,2019/12/01 – 2019/12/05
I've been experiencing Delayed Onset Muscle Soreness (DOMS) since 03/26/2020 – 03/29/2020.,Delayed Onset Muscle Soreness (DOMS),03/26/2020 – 03/29/2020
Acid Reflux (GERD) have been affecting me since Every morning this week.,Acid Reflux (GERD),Every morning this week
"Since Since turning 30 years old, I’ve been dealing with Rheumatoid Arthritis.",Rheumatoid Arthritis,Since turning 30 years old
I’ve been suffering from Joint Sprain ever since 2019/11/29 – 2019/12/15.,Joint Sprain,2019/11/29 – 2019/12/15
I've been experiencing Achilles Tendinitis since 2019/12/15 – 2019/12/19.,Achilles Tendinitis,2019/12/15 – 2019/12/19
I have Rosacea since Since turning 30 years old.,Rosacea,Since turning 30 years old
"Since 2020/02/15 – 2020/02/20, I’ve been dealing with Asthma.",Asthma,2020/02/15 – 2020/02/20
I’ve been suffering from Achilles Tendinitis ever since Past week.,Achilles Tendinitis,Past week
I've been experiencing Type 2 Diabetes since Since the COVID-19 pandemic began.,Type 2 Diabetes,Since the COVID-19 pandemic began
"Since Last 3 hours, I’ve been dealing with Insomnia.",Insomnia,Last 3 hours
Pneumonia have been affecting me since Last 2 months.,Pneumonia,Last 2 months
I have Chronic Fatigue Syndrome since Last 3 hours.,Chronic Fatigue Syndrome,Last 3 hours
I've been experiencing Common Cold since 2019/12/20 – 2019/12/27.,Common Cold,2019/12/20 – 2019/12/27
"Since Since last Monday, I’ve been dealing with Delayed Onset Muscle Soreness (DOMS).",Delayed Onset Muscle Soreness (DOMS),Since last Monday
I’ve been suffering from Migraine ever since Past 30 days.,Migraine,Past 30 days
Shingles (Herpes Zoster) have been affecting me since Past 1 hour.,Shingles (Herpes Zoster),Past 1 hour
I’ve been suffering from Chronic Back Pain ever since Over the last school semester.,Chronic Back Pain,Over the last school semester
High Cholesterol (Hyperlipidemia) have been affecting me since Last 3 months.,High Cholesterol (Hyperlipidemia),Last 3 months
I have Psoriasis Urinary Tract Infection (UTI) since Past 3 hours.,Psoriasis Urinary Tract Infection (UTI),Past 3 hours
I have Heart Palpitations since From 03/01/2020 to 03/07/2020.,Heart Palpitations,From 03/01/2020 to 03/07/2020
I have Iliotibial Band Syndrome (ITBS) since Over the last school semester.,Iliotibial Band Syndrome (ITBS),Over the last school semester
"Since 2020/01/20 – 2020/01/25, I’ve been dealing with Shingles (Herpes Zoster).",Shingles (Herpes Zoster),2020/01/20 – 2020/01/25
I've been experiencing Rheumatoid Arthritis since 03/20/2020 – 03/27/2020.,Rheumatoid Arthritis,03/20/2020 – 03/27/2020
"Since From 03/01/2020 to 03/07/2020, I’ve been dealing with Heart Palpitations.",Heart Palpitations,From 03/01/2020 to 03/07/2020
I’ve been suffering from Asthma ever since Last month.,Asthma,Last month
I have had Iliotibial Band Syndrome (ITBS) since 2019/11/05 – 2019/11/06.,Iliotibial Band Syndrome (ITBS),2019/11/05 – 2019/11/06
"Since From 03/01/2020 to 03/07/2020, I’ve been dealing with Common Cold.",Common Cold,From 03/01/2020 to 03/07/2020
Hypertrophic Cardiomyopathy have been affecting me since 2020/01/20 – 2020/01/25.,Hypertrophic Cardiomyopathy,2020/01/20 – 2020/01/25
I have Restless Legs Syndrome since Past week.,Restless Legs Syndrome,Past week
I’ve been suffering from Pneumonia ever since Between 02/10/2020 and 02/20/2020.,Pneumonia,Between 02/10/2020 and 02/20/2020
"Since For the past 10 minutes, I’ve been dealing with Anemia Eczema (Atopic Dermatitis).",Anemia Eczema (Atopic Dermatitis),For the past 10 minutes
I have Heat Exhaustion since 03/26/2020 – 03/29/2020.,Heat Exhaustion,03/26/2020 – 03/29/2020
I have Hypothyroidism since The entire month of February 2020.,Hypothyroidism,The entire month of February 2020
I have Hypertrophic Cardiomyopathy since Past 2 weeks.,Hypertrophic Cardiomyopathy,Past 2 weeks
I’ve been suffering from Celiac Disease ever since Yesterday.,Celiac Disease,Yesterday
Restless Legs Syndrome have been affecting me since 2019/11/29 – 2019/12/15.,Restless Legs Syndrome,2019/11/29 – 2019/12/15
I have Asthma since 03/26/2020 – 03/29/2020.,Asthma,03/26/2020 – 03/29/2020
I have Bradycardia (Slow Heart Rate) since Last month.,Bradycardia (Slow Heart Rate),Last month
Anxiety Disorder have been affecting me since Since my last doctor’s visit.,Anxiety Disorder,Since my last doctor’s visit
"Common Cold have been affecting me since Today, 08:00 AM – 11:00 AM.",Common Cold,"Today, 08:00 AM – 11:00 AM"
I've been experiencing Chronic Sinusitis since From 03/01/2020 to 03/07/2020.,Chronic Sinusitis,From 03/01/2020 to 03/07/2020
I have Orthostatic Intolerance since Last month.,Orthostatic Intolerance,Last month
"Since Past 1 hour, I’ve been dealing with Rheumatoid Arthritis.",Rheumatoid Arthritis,Past 1 hour
I've been experiencing Acid Reflux (GERD) since Yesterday.,Acid Reflux (GERD),Yesterday
Hypotension (Low Blood Pressure) have been affecting me since Past week.,Hypotension (Low Blood Pressure),Past week
I have Rheumatoid Arthritis since For the past 10 minutes.,Rheumatoid Arthritis,For the past 10 minutes
I have had Attention Deficit Hyperactivity Disorder (ADHD) since Past 30 days.,Attention Deficit Hyperactivity Disorder (ADHD),Past 30 days
I have Chronic Fatigue Syndrome since The entire month of February 2020.,Chronic Fatigue Syndrome,The entire month of February 2020
"Since 2019/11/03 – 2019/11/07, I’ve been dealing with Runner’s Knee (Patellofemoral Pain Syndrome).",Runner’s Knee (Patellofemoral Pain Syndrome),2019/11/03 – 2019/11/07
"Since For the past 10 minutes, I’ve been dealing with Depression.",Depression,For the past 10 minutes
I’ve been suffering from Polycystic Ovary Syndrome (PCOS) ever since Past 1 hour.,Polycystic Ovary Syndrome (PCOS),Past 1 hour
I've been experiencing Postural Orthostatic Tachycardia Syndrome (POTS) since 2019/12/20 – 2019/12/27.,Postural Orthostatic Tachycardia Syndrome (POTS),2019/12/20 – 2019/12/27
I have had Hypotension (Low Blood Pressure) since During the holiday season 2019.,Hypotension (Low Blood Pressure),During the holiday season 2019
I've been experiencing Hypertrophic Cardiomyopathy since 2020/02/11 – 2020/02/14.,Hypertrophic Cardiomyopathy,2020/02/11 – 2020/02/14
I have Exercise-Induced Hypoglycemia since 2020/01/11 – 2020/01/15.,Exercise-Induced Hypoglycemia,2020/01/11 – 2020/01/15
I have Migraine since 2019/11/29 – 2019/12/15.,Migraine,2019/11/29 – 2019/12/15
I've been experiencing Dehydration since 2019/12/15 – 2019/12/19.,Dehydration,2019/12/15 – 2019/12/19
Dehydration have been affecting me since Yesterday.,Dehydration,Yesterday
"Since 03/01/2020 – 03/05/2020, I’ve been dealing with Chronic Fatigue Syndrome.",Chronic Fatigue Syndrome,03/01/2020 – 03/05/2020
I have Psoriasis Urinary Tract Infection (UTI) since 2019/12/20 – 2019/12/27.,Psoriasis Urinary Tract Infection (UTI),2019/12/20 – 2019/12/27
I've been experiencing Acid Reflux (GERD) since The last quarter of 2019.,Acid Reflux (GERD),The last quarter of 2019
I have had Pneumonia since 03/20/2020 – 03/27/2020.,Pneumonia,03/20/2020 – 03/27/2020
"Since During Spring 2020, I’ve been dealing with Insomnia.",Insomnia,During Spring 2020
"Since 03/06/2020 – 03/10/2020, I’ve been dealing with Myofascial Pain Syndrome.",Myofascial Pain Syndrome,03/06/2020 – 03/10/2020
I've been experiencing Restless Legs Syndrome since The last quarter of 2019.,Restless Legs Syndrome,The last quarter of 2019
I've been experiencing Hypotension (Low Blood Pressure) since 2019/12/15 – 2019/12/19.,Hypotension (Low Blood Pressure),2019/12/15 – 2019/12/19
I have had Myofascial Pain Syndrome since Over the last school semester.,Myofascial Pain Syndrome,Over the last school semester
I have had Heart Palpitations since Over the last school semester.,Heart Palpitations,Over the last school semester
"Since The first week of November 2019, I’ve been dealing with Migraine.",Migraine,The first week of November 2019
I’ve been suffering from Dehydration ever since Since the COVID-19 pandemic began.,Dehydration,Since the COVID-19 pandemic began
"Since 03/26/2020 – 03/29/2020, I’ve been dealing with Joint Sprain.",Joint Sprain,03/26/2020 – 03/29/2020
I have Chronic Sinusitis since Past 12 hours.,Chronic Sinusitis,Past 12 hours
I’ve been suffering from Myofascial Pain Syndrome ever since Since the beginning of this year.,Myofascial Pain Syndrome,Since the beginning of this year
I have had Plantar Fasciitis since 03/06/2020 – 03/10/2020.,Plantar Fasciitis,03/06/2020 – 03/10/2020
Attention Deficit Hyperactivity Disorder (ADHD) have been affecting me since 03/26/2020 – 03/29/2020.,Attention Deficit Hyperactivity Disorder (ADHD),03/26/2020 – 03/29/2020
I've been experiencing Chronic Fatigue Syndrome since 2019/11/10 – 2019/11/12.,Chronic Fatigue Syndrome,2019/11/10 – 2019/11/12
"I've been experiencing Plantar Fasciitis since Today, 08:00 AM – 11:00 AM.",Plantar Fasciitis,"Today, 08:00 AM – 11:00 AM"
I've been experiencing Delayed Onset Muscle Soreness (DOMS) since 2020/01/01 – 2020/01/07.,Delayed Onset Muscle Soreness (DOMS),2020/01/01 – 2020/01/07
I’ve been suffering from Rheumatoid Arthritis ever since 03/11/2020 – 03/14/2020.,Rheumatoid Arthritis,03/11/2020 – 03/14/2020
I’ve been suffering from Anemia Eczema (Atopic Dermatitis) ever since 2020/01/11 – 2020/01/15.,Anemia Eczema (Atopic Dermatitis),2020/01/11 – 2020/01/15
"Since Past week, I’ve been dealing with Plantar Fasciitis.",Plantar Fasciitis,Past week
I have had Shin Splints since 2019/12/20 – 2019/12/27.,Shin Splints,2019/12/20 – 2019/12/27
Attention Deficit Hyperactivity Disorder (ADHD) have been affecting me since Since last night at midnight.,Attention Deficit Hyperactivity Disorder (ADHD),Since last night at midnight
I’ve been suffering from Anemia Eczema (Atopic Dermatitis) ever since Last 2 months.,Anemia Eczema (Atopic Dermatitis),Last 2 months
"Since Past 2 weeks, I’ve been dealing with Fibromyalgia.",Fibromyalgia,Past 2 weeks
"Since Past 2 weeks, I’ve been dealing with Joint Sprain.",Joint Sprain,Past 2 weeks
I have had Exercise-Induced Hypoglycemia since Since turning 30 years old.,Exercise-Induced Hypoglycemia,Since turning 30 years old
"Since This month (up to today), I’ve been dealing with Bradycardia (Slow Heart Rate).",Bradycardia (Slow Heart Rate),This month (up to today)
Heat Exhaustion have been affecting me since Past 2 weeks.,Heat Exhaustion,Past 2 weeks
I have had Psoriasis Urinary Tract Infection (UTI) since 03/01/2020 – 03/05/2020.,Psoriasis Urinary Tract Infection (UTI),03/01/2020 – 03/05/2020
I have Chronic Sinusitis since From 07:00 PM to 10:00 PM yesterday.,Chronic Sinusitis,From 07:00 PM to 10:00 PM yesterday
I've been experiencing Pneumonia since 03/01/2020 – 03/15/2020.,Pneumonia,03/01/2020 – 03/15/2020
Gallstones have been affecting me since 2019/12/01 – 2019/12/05.,Gallstones,2019/12/01 – 2019/12/05
I've been experiencing Gallstones since During the holiday season 2019.,Gallstones,During the holiday season 2019
Fatigue from Iron Deficiency have been affecting me since During Spring 2020.,Fatigue from Iron Deficiency,During Spring 2020
I've been experiencing Runner’s Knee (Patellofemoral Pain Syndrome) since 2020/02/22 – 2020/02/25.,Runner’s Knee (Patellofemoral Pain Syndrome),2020/02/22 – 2020/02/25
"Since 2019/11/05 – 2019/11/06, I’ve been dealing with Celiac Disease.",Celiac Disease,2019/11/05 – 2019/11/06
I’ve been suffering from Fatigue from Iron Deficiency ever since 2019/11/10 – 2019/11/12.,Fatigue from Iron Deficiency,2019/11/10 – 2019/11/12
I’ve been suffering from Common Cold ever since 2020/01/20 – 2020/01/25.,Common Cold,2020/01/20 – 2020/01/25
Heat Exhaustion have been affecting me since 2019/12/01 – 2019/12/05.,Heat Exhaustion,2019/12/01 – 2019/12/05
I've been experiencing Runner’s Knee (Patellofemoral Pain Syndrome) since During Spring 2020.,Runner’s Knee (Patellofemoral Pain Syndrome),During Spring 2020
Insomnia have been affecting me since Past 30 days.,Insomnia,Past 30 days
"Since Last 3 hours, I’ve been dealing with Glaucoma.",Glaucoma,Last 3 hours
I’ve been suffering from Heat Exhaustion ever since Yesterday.,Heat Exhaustion,Yesterday
I've been experiencing Exercise-Induced Hypoglycemia since This month (up to today).,Exercise-Induced Hypoglycemia,This month (up to today)
I've been experiencing Osteoarthritis since Last 2 months.,Osteoarthritis,Last 2 months
"Since 2020/01/28 – 2020/02/02, I’ve been dealing with Hyperthyroidism.",Hyperthyroidism,2020/01/28 – 2020/02/02
I’ve been suffering from Myofascial Pain Syndrome ever since 2019/11/10 – 2019/11/12.,Myofascial Pain Syndrome,2019/11/10 – 2019/11/12
I have Exertional Rhabdomyolysis since Past 1 hour.,Exertional Rhabdomyolysis,Past 1 hour
I've been experiencing Epilepsy since 03/20/2020 – 03/27/2020.,Epilepsy,03/20/2020 – 03/27/2020
I’ve been suffering from Fatigue from Iron Deficiency ever since Past 12 hours.,Fatigue from Iron Deficiency,Past 12 hours
I have Achilles Tendinitis since 03/21/2020 – 03/25/2020.,Achilles Tendinitis,03/21/2020 – 03/25/2020
I have had Plantar Fasciitis since 2020/01/01 – 2020/01/07.,Plantar Fasciitis,2020/01/01 – 2020/01/07
